sample_id,bio01_temp,bio12_precip,bio15_precip_season,elevation,landforms,soil_clay,soil_oc,soil_ph,label
36619_0,161.0,1304.0,20.0,87,41,34,4,54,5
36670_0,161.0,1268.0,19.0,59,24,22,4,59,5
36686_0,154.0,1252.0,19.0,74,24,18,2,59,1
36695_0,164.0,1337.0,20.0,41,41,25,11,64,3
36701_0,152.0,1218.0,17.0,107,34,16,2,58,99
36729_0,163.0,1324.0,20.0,48,41,39,9,63,3
36730_0,160.0,1316.0,20.0,60,24,11,2,57,1
36753_0,167.0,1275.0,19.0,58,24,25,3,58,2
36766_0,148.0,1191.0,17.0,106,31,16,3,61,5
36781_0,171.0,1374.0,22.0,40,41,28,2,61,5
36785_0,161.0,1250.0,20.0,67,24,17,2,58,5
36793_0,147.0,1220.0,18.0,108,41,12,2,57,1
36795_0,161.0,1265.0,19.0,58,24,34,11,66,3
36806_0,158.0,1400.0,20.0,123,24,11,2,50,5
36825_0,165.0,1382.0,20.0,45,24,22,3,58,5
36845_0,171.0,1399.0,22.0,42,24,19,2,58,5
36861_0,154.0,1205.0,18.0,79,34,24,2,59,5
36865_0,160.0,1266.0,20.0,70,24,19,2,60,3
36868_0,159.0,1238.0,19.0,63,24,17,2,61,2
36877_0,161.0,1261.0,20.0,76,34,22,3,57,5
36881_0,160.0,1353.0,20.0,79,24,24,2,51,3
36887_0,160.0,1266.0,21.0,62,34,35,3,61,3
36897_0,161.0,1292.0,20.0,88,24,27,3,55,1
36922_0,162.0,1291.0,20.0,52,24,16,2,57,5
36931_0,162.0,1351.0,21.0,53,34,43,3,60,5
36932_0,155.0,1213.0,18.0,78,34,26,3,59,1
36976_0,160.0,1292.0,21.0,58,34,31,3,65,5
37022_0,154.0,1263.0,18.0,74,24,27,2,64,2
37055_0,171.0,1343.0,21.0,38,34,50,5,62,5
37071_0,161.0,1344.0,21.0,52,24,27,2,61,5
37093_0,167.0,1321.0,20.0,43,34,34,2,65,1
37099_0,144.0,1204.0,16.0,90,34,22,2,61,3
